Gene Symbol	Monocytes C	NK	T CD8 Memory	T CD4 Naive	T CD8 Naive	B Naive	T CD4 Memory	MAIT	T gd Vd2	Neutrophils LD	T gd non-Vd2	Basophils LD	Monocytes NC+I	B Memory	mDCs	pDCs	Plasmablasts
S1PR3	45.72073501	0.27900227	0.198110252	0.36575058	0.193028508	1.595367739	0.339706535	0.163600883	0.24881128	0.142392176	0.279347817	0.21340963	2.040986383	0.506119184	3.996205833	0.297084552	0.615986893
RXFP2	17.87739825	0	0	0	0	0.247177095	0	0	0	0	0	0.163589148	0.876709883	0.369869446	2.138134583	0.024937802	0.090825789
ADAMTS5	2.550237104	0	0	0	0	0	0	0	0	0	0	0	0.01469791	0	0.28005504	0	0
CLEC6A	33.69599576	0	0	0	0	0.700206797	0	0	0	0.787547159	0	0	1.097270419	0.534983429	16.18694918	0	0
FXYD6	114.1676421	0.470769089	0.183293367	0.29084557	0.136530749	3.22113608	0.635156648	0.410599694	0.524305977	0.224330867	0.534073852	0.059585008	10.08437604	2.51479746	33.35082674	2.424722544	2.327274929
NRG1	142.4573466	0.194956833	0.152702392	0.279068161	0.181298448	4.358060659	0.494349187	0.342341951	0	0.566033785	0.550470978	0.817892644	5.932585947	2.758635684	43.09159615	0.30212373	6.595867771
PRLR	8.571306339	0.003562063	0.013645657	0.013484497	0.009963651	0.480771131	0.021380181	0.01976442	0.030534035	0.026402313	0.010860381	0.024848926	0.704866451	0.157849157	0.089711532	0.017394253	0.081607564
CLEC5A	33.10983432	0	0	0	0	1.291691916	0.11682308	0	0	1.460591418	0	0	1.900896515	0.271896564	10.5695476	0	0
VCAN-AS1	70.83918239	0.213640707	0	0	0	0.93004549	0	0	0	0	0	0.622971805	4.128950484	0.924399377	88.52448361	0	0
C9orf47	3.154481579	0	0	0	0	0.077791484	0	0	0	0	0	0	0	0.063040758	0.011298939	0	0
PLA2G7	83.56159539	0.413759339	0.180663219	0.254234855	0.31862178	3.896908036	0.272239751	0.402333903	0.104924021	0.278211734	0.332374293	0.513227375	7.488075226	3.646224275	73.8141613	0.841922911	6.654429153
CYP1B1	310.2088676	0.129203317	0.001466015	0.032134469	0.134913235	13.55860646	0.050680298	0.110007256	0.032667883	3.338397173	0	0	33.12177097	7.127832528	11.71997304	0	13.18580912
CYP27A1	119.4535034	0.021255347	0	0	0	1.621069214	0.017587106	0	0	28.71646342	0	0	6.908799927	1.493993167	8.437313313	0	3.937833691
IL31RA	4.57324887	0.036785396	0.00468832	0.038691624	0.049139567	0	0.044722615	0.013273196	0	0.056093646	0.053303751	0.065006204	0.61821009	0.024955566	0.355448181	0.027783198	0
ASGR2	112.3328633	0	0.041053167	0.055778461	0	2.029879709	0.015260994	0	0.152088912	0	0	0.160708721	8.999002572	1.707765164	253.3722288	0.183171416	3.666078051
HPSE	125.5990908	2.319291277	3.288965452	4.221183024	2.42571505	5.121271534	6.595130998	3.312526215	1.802226052	16.94431924	3.440648287	0.431150535	16.87541501	2.970607053	30.30287901	0.964821633	17.59775547
RP11-362F19.3	51.59863345	0	0	0	0	1.561891488	0	0	0	0	0	0	12.09557476	0.634338467	10.18620383	0	0
RPL7AP64	44.55179781	0	0	0	0	1.553281326	0	0	0	0	0	0	4.065905585	0.565613341	66.28817859	0	1.061369031
RP11-362F19.2	7.953768947	0.083761456	0.011701608	0.050546352	0	0.541052731	0.084646045	0	0.083195794	0.021192985	0.085189615	0.037463523	2.444531177	0.068295819	1.691219761	0.139374548	0.586039288
CDC42EP1	26.40769682	0.57618178	0.149007053	0.145543957	0	0.999245908	0.154844877	0.167324797	0.100407437	0.174050577	0.123256234	0.515824174	2.25565348	0.758052737	30.80090904	0.560536973	0.593854387
STAB1	125.5270593	0.073282241	0	0	0	2.416242197	0.00758006	0.091567193	0.02943388	0.026254338	0	0.660512891	21.39372675	2.323158481	109.8047196	0	1.752281062
TDRD6	5.936827682	0	0	0	0.003565941	0.076041704	0	0	0	0	0	0	0.300432886	0.049884586	1.798265135	0	0
TMEM150B	31.34676414	0.132724163	0.250498457	0.279053431	0.235324153	1.394629276	0.282830631	0.197287887	0.252769815	0.392423732	0.407705987	2.508486069	5.31320468	1.328906646	9.229811101	0.483815243	1.499764276
ASGR1	38.09795403	1.057674127	0.811987853	1.349620177	1.753160184	2.779782564	1.542874732	0.638040234	1.461871219	1.577929451	1.136357791	1.950364293	12.71138492	1.905120655	37.76678088	0.961174161	3.647217672
CLEC4D	111.0385897	0	0	0	0	2.287232628	0	0	0	34.81386107	0	2.846523589	3.57155353	2.497921515	10.28942002	0	1.970749456
CD163	472.4641933	18.58703279	12.31562843	22.35571992	18.95242551	39.51546031	20.47947345	13.49215672	21.03096533	9.455144326	12.62714971	9.177800391	61.47007476	25.26401181	853.8169071	33.05057813	62.0821073
