NAME	Memory CD4 T	B	CD14+ Mono	NK	CD8 T	Naive CD4 T	FCGR3A+ Mono	DC	Platelet
AAED1	1	1	47.3011507614612	1	1	1	44.4061926789635	1	1
AAK1	26.6550381626422	1	1	25.6557277043307	25.8716974903273	32.681457463252	1	1	1
AAMP	1	63.1451425085994	26.7283519598461	41.8464716481277	1	1	33.7278922830769	40.8936553049109	1
AATF	35.7610160809289	54.4441675337544	1	86.98827801051	1	1	24.4466029292258	41.8583361906278	1
ABCC3	1	1	1	1	1	1	1	1	36.4170728722143
ABHD14A	107.657270560795	1	1	212.901472728591	105.861285597715	76.4306866538201	1	1	1
ABHD14B	50.1172255254825	39.0168883760133	1	43.9577985104145	61.1200671350882	44.9705718622085	1	14.7699169651714	1
ABHD17A	1	1	1	88.0107030859672	28.67515326465	1	1	1	1
ABHD3	1	1	1	1	1	1	21.0894425687963	1	1
ABHD5	1	1	1	1	1	1	28.1153285238001	1	1
ABI3	1	1	95.3630704221251	340.686641379859	113.999938722777	1	416.694229469095	202.768955885161	1
ABTB1	1	1	1	1	1	1	16.1332002097746	14.6277686463591	108.995636545027
AC006369.2	1	1	1	1	333.076864851295	1	1	1	1
AC010642.1	1	1	1	79.3147891776118	71.7933086795805	1	38.1810468905015	37.3515886236728	1
AC013264.2	468.605719785631	1	1	1	1	480.50650422015	1	1	1
AC079305.10	1	1	1	1	1	1	1	113.976032401729	1
AC079767.4	1	743.972393894573	1	1	1	1	1	1	1
AC092580.4	436.782042791205	1	1	891.819022769326	1861.6409650189	457.885572862183	1	1	1
AC093673.5	1	1	197.640475361032	1	1	1	150.014133740666	93.1856735888216	1
AC147651.3	1	1	1	1	1	1	1	1	512.567788421719
ACAA1	1	1	20.3429371783212	1	1	1	36.432217599439	47.0198344190032	1
ACAA2	1	1	1	106.617875744826	46.0650892079751	1	38.6591549789879	1	1
ACADM	1	38.8232529233554	1	1	1	1	1	27.0150439982045	1
ACADVL	1	1	1	23.0756311911006	1	1	1	26.7099090120049	58.0006632344196
ACAP1	121.058285771837	83.9564607658932	1	95.31886316516	121.437645831938	149.431324135297	1	26.6151979605642	1
ACAT2	1	1	1	57.8078520922544	1	1	1	24.8883590908774	1
ACN9	57.8236568927123	43.2676574493596	1	1	60.7999567338939	1	1	41.6300151851957	1
ACO2	1	65.7459893889982	1	1	1	1	53.7552628366445	28.1172203223725	1
ACOT8	1	1	1	1	1	1	1	1	70.2141295834298
ACOT9	1	1	1	1	1	1	24.4119114889069	26.716402230833	1
ACRBP	1	1	1	1	1	1	1	1	1453.26479620098
ACTN1	1	1	1	1	1	20.9606508713129	1	1	228.535395496334
ACTN4	1	1	1	58.877068695057	1	1	1	1	1
ACTR1B	69.0602464222475	1	1	1	76.5919506622298	1	1	27.5988549764637	1
ACYP2	1	1	1	1	1	1	1	46.2725845331645	1
ADA	61.1095822491873	1	1	161.745791337468	68.7177598222538	1	195.035570751618	66.3521975020025	1
ADAM28	1	51.260184340009	1	1	1	1	1	12.1568787879355	1
ADAM8	1	1	1	44.2181201040482	35.6406197195456	1	1	34.6805368912146	1
ADAP2	1	1	1	1	1	1	21.7356541751793	1	1
